panel,column,sample,estimator,learner,coef,se,t,p,stars,original_coef,original_se,ml_minus_original,n,valid_repeats,repeat_sd,se_diff,t_vs_original,p_vs_original,diff_stars,t_vs_original_seml_only
OLS vs ML-OLS,Column 2,full,ML-OLS,Gradient Boosting,-0.08188776549102511,0.03507226435297632,-2.3348297294661533,0.019552317464527347,**,-0.07616984395846732,0.029070346952003088,-0.00571792153255779,52,500.0,0.014549462946334218,0.04555380114496362,-0.12552018467925277,0.9001117463464354,,-0.16303257397387155
OLS vs ML-OLS,Column 5,full,Original OLS,Original,-0.10324781654256293,0.03386731162084493,-3.0485979430093035,0.002299119540025485,***,-0.10324781654256293,0.03386731162084493,0.0,52,,,,,,,
OLS vs ML-OLS,Column 5,full,ML-OLS,Linear,-0.124768955634869,0.03265438817675969,-3.8208939931591726,0.0001329688004816365,***,-0.10324781654256293,0.03386731162084493,-0.021521139092306074,52,500.0,0.026856452978351715,0.04704576350344334,-0.45745116009714487,0.6473467992445479,,-0.6590581019558893
OLS vs ML-OLS,Column 5,full,ML-OLS,Ridge,-0.11091767566700621,0.028658398718794914,-3.8703375145054264,0.00010868477705106017,***,-0.10324781654256293,0.03386731162084493,-0.007669859124443276,52,500.0,0.014597604367499113,0.04436551153259527,-0.1728788615185524,0.8627466475259911,,-0.26763041437528695
OLS vs ML-OLS,Column 5,full,ML-OLS,LASSO,-0.10463709641566532,0.03168647534267019,-3.302263671931889,0.0009590786855386835,***,-0.10324781654256293,0.03386731162084493,-0.0013892798731023892,52,500.0,0.018135620449347287,0.04637917114465354,-0.02995482322806757,0.9761030828280268,,-0.04384456958617714
OLS vs ML-OLS,Column 5,full,ML-OLS,Elastic Net,-0.10702508097266146,0.029417523468429845,-3.638140412720946,0.0002746137043634356,***,-0.10324781654256293,0.03386731162084493,-0.0037772644300985286,52,500.0,0.0149312538174476,0.04485961974247038,-0.08420188248993209,0.932895921495241,,-0.1284018498073842
OLS vs ML-OLS,Column 5,full,ML-OLS,Polynomial Ridge,-0.11417229241872201,0.0383790717196154,-2.9748581011241333,0.0029312410482666973,***,-0.10324781654256293,0.03386731162084493,-0.010924475876159079,52,500.0,0.023839469269279115,0.05118542705187484,-0.21342941742163177,0.8309920372757242,,-0.28464669380149754
OLS vs ML-OLS,Column 5,full,ML-OLS,SVR,-0.09400697363361787,0.03266619253177248,-2.877806268428218,0.0040045098119543265,***,-0.10324781654256293,0.03386731162084493,0.009240842908945057,52,500.0,0.011276177176206718,0.047053957654444395,0.19638821832603554,0.8443063171222513,,0.28288705210921156
OLS vs ML-OLS,Column 5,full,ML-OLS,Kernel Ridge,-0.11599112230415926,0.03202156506159662,-3.622281486899187,0.00029201610664975064,***,-0.10324781654256293,0.03386731162084493,-0.012743305761596324,52,500.0,0.007491435478820981,0.04660874837857677,-0.27341016879684443,0.7845379369064527,,-0.39796011647411134
OLS vs ML-OLS,Column 5,full,ML-OLS,Random Forest,-0.0976712430393548,0.03240902583634204,-3.0137049947928585,0.0025807862165350137,***,-0.10324781654256293,0.03386731162084493,0.005576573503208129,52,500.0,0.009050273185523844,0.04687579068222854,0.1189648947153079,0.9053031681805634,,0.17206853212338175
OLS vs ML-OLS,Column 5,full,ML-OLS,Extra Trees,-0.11046073131736464,0.030026058576290617,-3.678828875814803,0.00023430740975882713,***,-0.10324781654256293,0.03386731162084493,-0.00721291477480171,52,500.0,0.008164497915714013,0.045261009600430405,-0.15936265758272258,0.8733831578099447,,-0.24022183119622703
OLS vs ML-OLS,Column 5,full,ML-OLS,Gradient Boosting,-0.09359122412259768,0.033719080900612,-2.7756161088275393,0.005509722214155133,***,-0.10324781654256293,0.03386731162084493,0.009656592419965249,52,500.0,0.015043325528357842,0.04779091140798044,0.20205918103400572,0.8398704584381174,,0.2863836190680388
IV vs ML-IV,Column 3,full,Original IV,Original,-0.28565931615083073,0.15270198454556208,-1.8706981248537593,0.061386934879677835,*,-0.28565931615083073,0.15270198454556208,0.0,52,,,,,,,
IV vs ML-IV,Column 3,full,ML-IV,Linear,-0.2551141675920967,0.06977792603849432,-3.656086990194551,0.0002560944817222577,***,-0.28565931615083073,0.15270198454556208,0.030545148558734025,52,500.0,0.04477804795905226,0.16788941314563782,0.1819361208454356,0.8556328572001726,,0.43774801420557
IV vs ML-IV,Column 3,full,ML-IV,Ridge,-0.2502276804678387,0.07359455859716568,-3.4000839904144167,0.0006736515717085112,***,-0.28565931615083073,0.15270198454556208,0.03543163568299201,52,500.0,0.041367859888962626,0.16951122422796885,0.2090223573357091,0.8344307854640733,,0.4814436876635683
IV vs ML-IV,Column 3,full,ML-IV,LASSO,-0.27222592818896474,0.08495126187703428,-3.2044954032938064,0.0013529945081780514,***,-0.28565931615083073,0.15270198454556208,0.013433387961865995,52,500.0,0.057774021136853274,0.1747415605362775,0.07687574679222997,0.938722391693328,,0.15813052878850262
IV vs ML-IV,Column 3,full,ML-IV,Elastic Net,-0.2813676397283541,0.08763008026100301,-3.2108568072779438,0.0013233986123823982,***,-0.28565931615083073,0.15270198454556208,0.004291676422476631,52,500.0,0.054902884635672874,0.17605944181072172,0.024376292338189588,0.9805524586794139,,0.04897492287687092
IV vs ML-IV,Column 3,full,ML-IV,Polynomial Ridge,-0.16000375688499205,0.13797786306606089,-1.1596335334486636,0.24619804202651974,,-0.28565931615083073,0.15270198454556208,0.12565555926583868,52,500.0,0.13830289428427073,0.20580521562980306,0.6105557572061951,0.5414937200908754,,0.9106936176108008
IV vs ML-IV,Column 3,full,ML-IV,SVR,-0.2176803867218574,0.10472026220351224,-2.078684508054608,0.037646357814561604,**,-0.28565931615083073,0.15270198454556208,0.06797892942897332,52,500.0,0.05285207956581115,0.18516001026173398,0.3671361290857638,0.7135174790247134,,0.6491478153183363
IV vs ML-IV,Column 3,full,ML-IV,Kernel Ridge,-0.283333013819596,0.11312416103080583,-2.504619802152072,0.012258308319344824,**,-0.28565931615083073,0.15270198454556208,0.0023263023312347086,52,500.0,0.050264167876218735,0.19003939563437042,0.01224115833177263,0.9902332126802771,,0.020564151018111973
IV vs ML-IV,Column 3,full,ML-IV,Random Forest,-0.24261389531044036,0.14096769488185873,-1.7210602437229934,0.08523989254216668,*,-0.28565931615083073,0.15270198454556208,0.04304542084039037,52,500.0,0.07557437155022798,0.2078215269996299,0.20712686246630757,0.8359107837531332,,0.30535663420236525
IV vs ML-IV,Column 3,full,ML-IV,Extra Trees,-0.22344080161817753,0.08265347929092366,-2.703344172986484,0.006864562637405092,***,-0.28565931615083073,0.15270198454556208,0.0622185145326532,52,500.0,0.027159709415108597,0.17363609568015584,0.35832707645800804,0.7200985574877952,,0.7527634053208639
IV vs ML-IV,Column 3,full,ML-IV,Gradient Boosting,-0.28598325008071657,0.1428389913780352,-2.0021371428186456,0.04526998375128155,**,-0.28565931615083073,0.15270198454556208,-0.00032393392988583347,52,500.0,0.0945410622874727,0.20909536948973187,-0.00154921618147905,0.9987639048219046,,-0.0022678256599314365
IV vs ML-IV,Column 4,restricted,Original IV,Original,-0.22123816222017112,0.07777316034451047,-2.8446595360167457,0.004445891571000615,***,-0.22123816222017112,0.07777316034451047,0.0,42,,,,,,,
IV vs ML-IV,Column 4,restricted,ML-IV,Linear,-0.199661904754924,0.0550294993465123,-3.6282704208825103,0.0002853263156539221,***,-0.22123816222017112,0.07777316034451047,0.021576257465247106,42,500.0,0.031999100679912684,0.09527282019705689,0.22646813037149524,0.8208373436346885,,0.39208529464142
IV vs ML-IV,Column 4,restricted,ML-IV,Ridge,-0.21056157291770347,0.07513927265922814,-2.802283885188016,0.005074220087350589,***,-0.22123816222017112,0.07777316034451047,0.010676589302467648,42,500.0,0.03148992821177669,0.10814145720180936,0.09872799552296965,0.9213542402381749,,0.1420906661006442
IV vs ML-IV,Column 4,restricted,ML-IV,LASSO,-0.1858322338161476,0.082105978296748,-2.2633215957126955,0.023615871983553305,**,-0.22123816222017112,0.07777316034451047,0.03540592840402351,42,500.0,0.04789840439041567,0.11309313039278288,0.31306878040297814,0.7542284073240488,,0.4312222951178921
IV vs ML-IV,Column 4,restricted,ML-IV,Elastic Net,-0.19938936186081008,0.07689667451201172,-2.5929516864824143,0.009515613697682834,***,-0.22123816222017112,0.07777316034451047,0.021848800359361042,42,500.0,0.039001515516875966,0.10936984511728637,0.19976987565384918,0.8416605621505115,,0.28413192765505263
IV vs ML-IV,Column 4,restricted,ML-IV,Polynomial Ridge,-0.12201043964467802,0.09150462666095188,-1.333380005983282,0.18240713035848333,,-0.22123816222017112,0.07777316034451047,0.0992277225754931,42,500.0,0.07506954892856005,0.12009063731337728,0.8262735946396698,0.40864890878108406,,1.0844011521205073
IV vs ML-IV,Column 4,restricted,ML-IV,SVR,-0.11853043532894164,0.07015855090863109,-1.6894652724983765,0.09113030151540569,*,-0.22123816222017112,0.07777316034451047,0.10270772689122948,42,500.0,0.03950226346953985,0.10474200081902157,0.9805782407068295,0.3268007689407715,,1.4639374040804782
IV vs ML-IV,Column 4,restricted,ML-IV,Kernel Ridge,-0.1807885240305614,0.07392886528711971,-2.445438913858987,0.014467595460937455,**,-0.22123816222017112,0.07777316034451047,0.04044963818960973,42,500.0,0.024902597185365097,0.10730396820534657,0.37696311577407504,0.7062010156580196,,0.5471426895640056
IV vs ML-IV,Column 4,restricted,ML-IV,Random Forest,-0.11447977694932165,0.11569786431233241,-0.9894718249965059,0.3224323482658267,,-0.22123816222017112,0.07777316034451047,0.10675838527084947,42,500.0,0.0668160378767325,0.13940825038859003,0.7657967514352162,0.4437972474603009,,0.9227342778138898
IV vs ML-IV,Column 4,restricted,ML-IV,Extra Trees,-0.1482024030574099,0.09473466046755354,-1.5643947244437422,0.11772489887545445,,-0.22123816222017112,0.07777316034451047,0.07303575916276123,42,500.0,0.03775098106914456,0.12256965515116532,0.5958714583367811,0.5512611016566624,,0.7709507671458415
IV vs ML-IV,Column 4,restricted,ML-IV,Gradient Boosting,-0.16961049730581568,0.10724937444379398,-1.5814590824928605,0.1137731075586208,,-0.22123816222017112,0.07777316034451047,0.05162766491435544,42,500.0,0.0728286001048143,0.13248053739533994,0.38969999616088113,0.6967583993523112,,0.48137963677738627
